DATE,ATNHPIUS53033A_CHG
1976-01-01,1.87
1977-01-01,3.21
1978-01-01,5.12
1979-01-01,4.14
1980-01-01,3.57
1981-01-01,1.64
1982-01-01,-3.23
1983-01-01,3.43
1984-01-01,1.08
1985-01-01,0.95
1986-01-01,1.01
1987-01-01,1.68
1988-01-01,3.23
1989-01-01,8.05
1990-01-01,11.79
1991-01-01,1.64
1992-01-01,0.72
1993-01-01,0.64
1994-01-01,1.65
1995-01-01,2.03
1996-01-01,2.32
1997-01-01,5.03
1998-01-01,6.82
1999-01-01,6.44
2000-01-01,9.46
2001-01-01,6.10
2002-01-01,4.40
2003-01-01,3.06
2004-01-01,9.68
2005-01-01,19.69
2006-01-01,22.42
2007-01-01,12.86
2008-01-01,-5.12
2009-01-01,-19.07
2010-01-01,-11.51
2011-01-01,-8.72
2012-01-01,-1.07
2013-01-01,9.64
2014-01-01,15.12
2015-01-01,12.48
2016-01-01,22.38
2017-01-01,24.09
2018-01-01,19.77
2019-01-01,4.19
2020-01-01,8.05
2021-01-01,27.40
